"reef_no","replicate","perimeter_m","area_m2","diam_longest_m","diam_perpendic_m","imagery_resolution_m","date","method","platform","imagery_type","provider","instrument","observer","notes"
12,1,354.6,10024,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","ASL","NA"
12,2,348,9655,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","ASL","NA"
12,3,372.4,11061,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","ASL","NA"
12,1,363.4,10528,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","ASL","NA"
12,2,366,10680,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","ASL","NA"
12,3,361.8,10439,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","ASL","NA"
12,1,365,10627,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","ASL","NA"
12,2,375.6,11248,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","ASL","NA"
12,3,365.3,10642,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","ASL","NA"
12,1,356.1,10470,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","ASL","NA"
12,2,360.6,10220,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","ASL","NA"
12,3,359,10380,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","ASL","NA"
12,1,361.6,10360,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","ASL","NA"
12,2,359,10600,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","ASL","NA"
12,3,352,10390,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","ASL","NA"
12,1,390,11920,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","ASL","NA"
12,2,358,10420,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","ASL","NA"
12,3,402,10000,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","ASL","NA"
12,1,407,11620,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","ASL","NA"
12,2,400,13100,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","ASL","NA"
12,3,390,12400,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","ASL","NA"
16,1,178.8,2545.33757961783,"NA","NA","NA","NA","field","boat","NA","NA","transect tape","ASL","NA"
